transaction_id,timestamp,account_id,linked_momo_account,amount_ghs,transaction_type,channel,counterparty_account,balance_before_ghs,balance_after_ghs,location_region,is_after_hours,income_tier,personal_alert_threshold,label,attack_type
BANK-TXN-684536,2025-11-21 21:40:45.455310,BANK-GH-00185,MOMO-GH-00185,882.9,transfer,internet,BANK-GH-00130,2895.57,2012.67,Northern,False,low,1190.85,0,none
BANK-TXN-912965,2025-11-21 22:44:06.473955,BANK-GH-00221,MOMO-GH-00221,5034.94,momo_link,internet,BANK-GH-00449,5309.97,275.03,Central,False,middle,8246.22,0,none
BANK-TXN-792371,2025-11-21 23:45:21.424308,BANK-GH-00393,MOMO-GH-00393,1843.54,deposit,mobile,BANK-GH-00244,4100.92,2257.38,Western,False,low,1983.66,0,none
BANK-TXN-245453,2025-11-21 23:51:00.385935,BANK-GH-00065,MOMO-GH-00065,3308.97,momo_link,mobile,BANK-GH-00164,6705.59,3396.62,Upper West,False,middle,3844.35,0,none
BANK-TXN-628168,2025-11-22 00:20:48.468769,BANK-GH-00301,MOMO-GH-00301,7536.84,momo_link,branch,BANK-GH-00007,22584.9,15048.06,Eastern,False,middle,8579.16,0,none
BANK-TXN-496069,2025-11-22 00:20:50.476398,BANK-GH-00119,MOMO-GH-00119,1614.83,momo_link,internet,BANK-GH-00261,1404.21,-210.62,Upper East,False,low,2388.39,0,none
BANK-TXN-769615,2025-11-22 00:50:39.421858,BANK-GH-00457,MOMO-GH-00457,4204.69,transfer,internet,BANK-GH-00009,3384.97,-819.72,Brong-Ahafo,False,middle,5246.73,0,none
BANK-TXN-363643,2025-11-22 00:55:23.434427,BANK-GH-00069,MOMO-GH-00069,882.03,transfer,branch,BANK-GH-00389,1305.02,422.99,Central,False,low,1258.86,0,none
BANK-TXN-549359,2025-11-22 01:15:41.443725,BANK-GH-00018,MOMO-GH-00018,2045.18,transfer,atm,BANK-GH-00053,8091.09,6045.91,Upper West,False,middle,3408.75,0,none
BANK-TXN-742214,2025-11-22 01:16:17.449217,BANK-GH-00187,MOMO-GH-00187,1761.67,momo_link,mobile,BANK-GH-00039,4358.52,2596.85,Brong-Ahafo,False,low,2059.26,0,none
BANK-TXN-252096,2025-11-22 02:03:42.406842,BANK-GH-00178,MOMO-GH-00178,931.94,momo_link,mobile,BANK-GH-00110,2110.7,1178.76,Western,False,low,1352.13,0,none
BANK-TXN-527123,2025-11-22 02:05:48.449719,BANK-GH-00384,MOMO-GH-00384,3551.31,withdrawal,atm,BANK-GH-00211,20139.87,16588.56,Northern,False,middle,6136.53,0,none
BANK-TXN-726587,2025-11-22 02:36:08.410502,BANK-GH-00139,MOMO-GH-00139,19949.09,deposit,mobile,BANK-GH-00113,22144.19,2195.1,Central,False,high,35826.21,0,none
BANK-TXN-305369,2025-11-22 03:39:09.469530,BANK-GH-00447,MOMO-GH-00447,2731.28,transfer,momo,BANK-GH-00385,8937.48,6206.2,Brong-Ahafo,False,middle,3549.75,0,none
BANK-TXN-211914,2025-11-22 03:42:58.400759,BANK-GH-00209,MOMO-GH-00209,603.36,deposit,atm,BANK-GH-00494,2089.33,1485.97,Northern,False,low,1253.67,0,none
BANK-TXN-103489,2025-11-22 03:51:12.452748,BANK-GH-00257,MOMO-GH-00257,3764.81,transfer,branch,BANK-GH-00213,4072.91,308.1,Western,False,middle,6513.39,0,none
BANK-TXN-204827,2025-11-22 03:58:15.444422,BANK-GH-00311,MOMO-GH-00311,2714.91,withdrawal,branch,BANK-GH-00283,4605.35,1890.44,Upper West,False,middle,3641.88,0,none
BANK-TXN-180324,2025-11-22 04:17:17.475452,BANK-GH-00276,MOMO-GH-00276,703.49,transfer,branch,BANK-GH-00221,1611.29,907.8,Northern,False,low,1199.19,0,none
BANK-TXN-398262,2025-11-22 04:18:34.444980,BANK-GH-00204,MOMO-GH-00204,475.7,deposit,momo,BANK-GH-00419,1483.85,1008.15,Upper East,False,low,1258.74,0,none
BANK-TXN-340897,2025-11-22 04:33:43.472031,BANK-GH-00159,MOMO-GH-00159,4533.28,momo_link,momo,BANK-GH-00141,12460.6,7927.32,Upper West,False,middle,5543.22,0,none
BANK-TXN-117663,2025-11-22 04:58:09.459847,BANK-GH-00160,MOMO-GH-00160,780.34,transfer,branch,BANK-GH-00217,1898.55,1118.21,Upper West,False,low,1822.65,0,none
BANK-TXN-614954,2025-11-22 06:21:14.413600,BANK-GH-00314,MOMO-GH-00314,986.11,transfer,internet,BANK-GH-00052,2293.69,1307.58,Central,False,low,1700.49,0,none
BANK-TXN-196799,2025-11-22 06:37:01.443776,BANK-GH-00371,MOMO-GH-00371,6755.98,transfer,atm,BANK-GH-00096,12546.12,5790.14,Upper West,False,middle,7498.8,0,none
BANK-TXN-170176,2025-11-22 07:02:40.394186,BANK-GH-00037,MOMO-GH-00037,880.65,withdrawal,branch,BANK-GH-00163,5367.77,4487.12,Volta,False,low,1974.3,0,none
BANK-TXN-381452,2025-11-22 07:26:33.424073,BANK-GH-00381,MOMO-GH-00381,5328.87,withdrawal,branch,BANK-GH-00011,9274.36,3945.49,Upper East,False,middle,8190.3,0,none
BANK-TXN-142393,2025-11-22 07:55:35.444325,BANK-GH-00299,MOMO-GH-00299,6937.64,momo_link,atm,BANK-GH-00454,11497.77,4560.13,Upper West,False,middle,8858.04,0,none
BANK-TXN-331707,2025-11-22 07:56:00.425882,BANK-GH-00003,MOMO-GH-00003,2435.76,transfer,momo,BANK-GH-00297,4915.14,2479.38,Volta,False,middle,2442.9,0,none
BANK-TXN-727186,2025-11-22 08:22:36.421933,BANK-GH-00427,MOMO-GH-00427,2595.15,deposit,mobile,BANK-GH-00027,3044.98,449.83,Greater Accra,False,middle,4117.11,0,none
BANK-TXN-538168,2025-11-22 08:45:16.448416,BANK-GH-00120,MOMO-GH-00120,1419.96,transfer,atm,BANK-GH-00163,1211.6,-208.36,Central,False,low,1974.9,0,none
BANK-TXN-537256,2025-11-22 10:43:56.392963,BANK-GH-00447,MOMO-GH-00447,2509.72,deposit,branch,BANK-GH-00008,10144.65,7634.93,Brong-Ahafo,False,middle,3549.75,0,none
BANK-TXN-962198,2025-11-22 10:45:36.488472,BANK-GH-00287,MOMO-GH-00287,785.38,deposit,momo,BANK-GH-00283,3203.56,2418.18,Upper East,False,low,1231.26,0,none
BANK-TXN-401134,2025-11-22 10:52:28.475318,BANK-GH-00051,MOMO-GH-00051,2620.1,deposit,branch,BANK-GH-00024,3372.07,751.97,Eastern,False,low,2130.81,0,none
BANK-TXN-969885,2025-11-22 10:56:15.401494,BANK-GH-00011,MOMO-GH-00011,1009.97,deposit,internet,BANK-GH-00165,669.58,-340.39,Upper East,False,low,1648.86,0,none
BANK-TXN-103425,2025-11-22 11:01:58.422809,BANK-GH-00058,MOMO-GH-00058,1388.08,momo_link,branch,BANK-GH-00320,5673.16,4285.08,Eastern,False,low,1945.8,0,none
BANK-TXN-878594,2025-11-22 12:16:35.405366,BANK-GH-00344,MOMO-GH-00344,3534.24,withdrawal,branch,BANK-GH-00178,14781.26,11247.02,Brong-Ahafo,False,middle,4574.97,0,none
BANK-TXN-300450,2025-11-22 12:52:10.461622,BANK-GH-00393,MOMO-GH-00393,1731.56,withdrawal,atm,BANK-GH-00241,5894.98,4163.42,Western,False,low,1983.66,0,none
BANK-TXN-763431,2025-11-22 13:15:21.406940,BANK-GH-00117,MOMO-GH-00117,1514.64,transfer,internet,BANK-GH-00182,747.76,-766.88,Upper East,False,low,1723.83,0,none
BANK-TXN-234357,2025-11-22 14:07:21.392773,BANK-GH-00210,MOMO-GH-00210,5386.9,momo_link,internet,BANK-GH-00123,19272.82,13885.92,Western,False,middle,6689.73,0,none
BANK-TXN-949042,2025-11-22 14:20:59.465419,BANK-GH-00177,MOMO-GH-00177,1195.47,transfer,momo,BANK-GH-00228,991.23,-204.24,Central,False,low,1917.72,0,none
BANK-TXN-614333,2025-11-22 14:26:33.392112,BANK-GH-00029,MOMO-GH-00029,224.53,deposit,branch,BANK-GH-00297,2843.61,2619.08,Upper East,False,low,1274.7,0,none
BANK-TXN-437466,2025-11-22 14:50:01.393437,BANK-GH-00128,MOMO-GH-00128,4376.9,transfer,branch,BANK-GH-00163,15377.17,11000.27,Western,False,middle,5105.85,0,none
BANK-TXN-772922,2025-11-22 15:51:34.489396,BANK-GH-00316,MOMO-GH-00316,633.55,momo_link,branch,BANK-GH-00052,4379.4,3745.85,Greater Accra,False,low,2196.12,0,none
BANK-TXN-238717,2025-11-22 16:24:43.432941,BANK-GH-00222,MOMO-GH-00222,703.23,deposit,internet,BANK-GH-00208,2768.42,2065.19,Central,False,low,954.93,0,none
BANK-TXN-808942,2025-11-22 16:29:15.420979,BANK-GH-00009,MOMO-GH-00009,1065.97,transfer,mobile,BANK-GH-00344,4969.0,3903.03,Upper West,False,middle,3478.47,0,none
BANK-TXN-733754,2025-11-22 17:03:18.434963,BANK-GH-00313,MOMO-GH-00313,35776.67,deposit,atm,BANK-GH-00073,100677.24,64900.57,Volta,False,high,34042.56,0,none
BANK-TXN-207944,2025-11-22 17:25:21.490005,BANK-GH-00463,MOMO-GH-00463,1258.52,momo_link,mobile,BANK-GH-00322,5251.79,3993.27,Upper East,False,low,2228.25,0,none
BANK-TXN-703675,2025-11-22 17:27:04.480716,BANK-GH-00292,MOMO-GH-00292,1162.04,momo_link,momo,BANK-GH-00331,2660.03,1497.99,Upper East,False,low,1665.57,0,none
BANK-TXN-339843,2025-11-22 19:53:02.414612,BANK-GH-00379,MOMO-GH-00379,7254.78,momo_link,atm,BANK-GH-00340,14719.86,7465.08,Volta,False,middle,7867.98,0,none
BANK-TXN-570284,2025-11-22 20:10:01.398292,BANK-GH-00462,MOMO-GH-00462,777.53,withdrawal,branch,BANK-GH-00156,4162.72,3385.19,Central,False,low,1496.19,0,none
BANK-TXN-471904,2025-11-22 20:57:30.479971,BANK-GH-00209,MOMO-GH-00209,827.41,transfer,mobile,BANK-GH-00061,878.84,51.43,Northern,False,low,1253.67,0,none
BANK-TXN-544436,2025-11-22 20:59:16.421098,BANK-GH-00475,MOMO-GH-00475,4950.64,transfer,momo,BANK-GH-00126,11692.83,6742.19,Volta,False,middle,6893.37,0,none
BANK-TXN-602605,2025-11-22 21:09:29.472190,BANK-GH-00494,MOMO-GH-00494,6649.41,withdrawal,mobile,BANK-GH-00455,14215.77,7566.36,Northern,False,middle,8965.38,0,none
BANK-TXN-211751,2025-11-22 21:54:46.456917,BANK-GH-00152,MOMO-GH-00152,1092.47,transfer,internet,BANK-GH-00024,1216.99,124.52,Northern,False,low,1567.05,0,none
BANK-TXN-930045,2025-11-22 22:00:40.386197,BANK-GH-00206,MOMO-GH-00206,2163.29,transfer,mobile,BANK-GH-00457,5821.65,3658.36,Upper East,False,middle,3313.44,0,none
BANK-TXN-250944,2025-11-22 22:13:18.439051,BANK-GH-00022,MOMO-GH-00022,3906.63,momo_link,internet,BANK-GH-00212,4782.11,875.48,Northern,False,middle,5033.34,0,none
BANK-TXN-750475,2025-11-22 22:34:53.453989,BANK-GH-00056,MOMO-GH-00056,3603.83,momo_link,atm,BANK-GH-00416,14154.39,10550.56,Eastern,False,middle,8605.74,0,none
BANK-TXN-155398,2025-11-22 22:44:51.472378,BANK-GH-00118,MOMO-GH-00118,23223.48,momo_link,internet,BANK-GH-00170,57190.84,33967.36,Western,False,high,30919.38,0,none
BANK-TXN-726206,2025-11-22 22:58:43.483701,BANK-GH-00126,MOMO-GH-00126,21648.05,deposit,mobile,BANK-GH-00349,120562.51,98914.46,Western,False,high,37526.16,0,none
BANK-TXN-804830,2025-11-22 23:08:27.474857,BANK-GH-00133,MOMO-GH-00133,825.19,transfer,atm,BANK-GH-00170,4957.05,4131.86,Volta,False,low,1546.02,0,none
BANK-TXN-749954,2025-11-22 23:26:40.388869,BANK-GH-00209,MOMO-GH-00209,619.32,transfer,atm,BANK-GH-00214,3392.71,2773.39,Northern,False,low,1253.67,0,none
BANK-TXN-924334,2025-11-22 23:42:04.456628,BANK-GH-00208,MOMO-GH-00208,1825.94,deposit,internet,BANK-GH-00024,3916.48,2090.54,Northern,False,low,2265.75,0,none
BANK-TXN-753899,2025-11-23 01:11:03.393969,BANK-GH-00476,MOMO-GH-00476,6740.28,transfer,branch,BANK-GH-00430,26897.23,20156.95,Greater Accra,False,middle,8477.52,0,none
BANK-TXN-786651,2025-11-23 02:08:52.388447,BANK-GH-00208,MOMO-GH-00208,1920.03,deposit,mobile,BANK-GH-00364,2928.26,1008.23,Northern,False,low,2265.75,0,none
BANK-TXN-208858,2025-11-23 02:11:44.407500,BANK-GH-00235,MOMO-GH-00235,3890.94,deposit,atm,BANK-GH-00012,9613.49,5722.55,Central,False,middle,6029.97,0,none
BANK-TXN-604134,2025-11-23 02:44:21.474411,BANK-GH-00401,MOMO-GH-00401,3653.65,transfer,branch,BANK-GH-00022,5363.24,1709.59,Upper West,False,middle,5195.61,0,none
